noise_std,noise_percentage,noise_mean,seed,task,run,duplicate,accuracy,accuracy_pass_at_1,accuracy_pass_at_2,accuracy_pass_at_5
0.05,1.0,0.0,399,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,400,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,401,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,402,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,403,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,404,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,405,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,406,gsm8k,1,0,0.23333333333333334,,,
0.05,1.0,0.0,407,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,408,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,409,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,410,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,411,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,412,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,413,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,414,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,415,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,416,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,417,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,418,gsm8k,1,0,0.13333333333333333,,,
0.05,1.0,0.0,419,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,420,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,421,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,422,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,423,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,424,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,425,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,426,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,427,gsm8k,1,0,0.13333333333333333,,,
0.05,1.0,0.0,428,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,429,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,430,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,431,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,432,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,433,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,434,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,435,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,436,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,437,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,438,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,439,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,440,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,441,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,442,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,443,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,444,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,445,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,446,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,447,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,448,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,449,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,450,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,451,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,452,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,453,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,454,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,455,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,456,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,457,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,458,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,459,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,460,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,461,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,462,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,463,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,464,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,465,gsm8k,1,0,0.1,,,
0.05,1.0,0.0,466,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,467,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,468,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,469,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,470,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,471,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,472,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,473,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,474,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,475,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,476,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,477,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,478,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,479,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,480,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,481,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,482,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,483,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,484,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,485,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,486,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,487,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,488,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,489,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,490,gsm8k,1,0,0.1,,,
0.05,1.0,0.0,491,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,492,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,493,gsm8k,1,0,0.03333333333333333,,,
0.05,1.0,0.0,494,gsm8k,1,0,0.1,,,
0.05,1.0,0.0,495,gsm8k,1,0,0.1,,,
0.05,1.0,0.0,496,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,497,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,498,gsm8k,1,0,0.06666666666666667,,,
0.05,1.0,0.0,499,gsm8k,1,0,0.0,,,
0.05,1.0,0.0,500,gsm8k,1,0,0.0,,,
